path,name,depth,type,observed_exists,expected_role,notes
E:\IMPERIUM\ARTIFACTS\INDEX.csv,INDEX.csv,1,file,YES,artifacts_index_csv,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\INDEX.json,INDEX.json,1,file,YES,artifacts_index_json,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING,TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR,TASK-20260508-0004-IMPERIUM-ROOT-HYGIENE-REPAIR,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\ARTIFACTS\TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1,TASK-20260508-0005-FOLDER-SEMANTIC-MAP-V1,1,folder,YES,shallow_unknown_folder,One-level observation under E:\IMPERIUM\ARTIFACTS
E:\IMPERIUM\OBSERVED\LEGACY_ROOT_IMPORTS_20260508_1731,LEGACY_ROOT_IMPORTS_20260508_1731,1,folder,YES,legacy_observed_import,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\OBSERVED\THRONE_REPO_COPY,THRONE_REPO_COPY,1,folder,YES,observed_throne_copy,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\OBSERVED\VM3_REPO_COPY,VM3_REPO_COPY,1,folder,YES,observed_vm3_copy,One-level observation under E:\IMPERIUM\OBSERVED
E:\IMPERIUM\ARCHIVE\2026_04_DELETE_LATER,2026_04_DELETE_LATER,1,folder,YES,legacy_archive_batch,One-level observation under E:\IMPERIUM\ARCHIVE
E:\IMPERIUM\ARCHIVE\ROOT_CLEANUP_20260508_1731,ROOT_CLEANUP_20260508_1731,1,folder,YES,root_cleanup_archive_batch,One-level observation under E:\IMPERIUM\ARCHIVE
